tranche zincid SMILES
H28P160 ZINCsm00000M6E5X CCn1ccc(C(=O)NC[C@@H]2C[C@H](F)CN2C(=O)[C@H]2CC[C@H](N(C)C)CC2)n1
H29P250 ZINCtv00000mG3JG COC1(CNC(=O)[C@H](C)n2cc(C)cn2)CN(C(=O)CSc2cccc(Cl)c2)C1
H26P410 ZINCqL00000iKFmC COC(=O)c1cc(F)c(CN[C@H](Cc2cccc(C)c2)C2CC2)c(F)c1
H28P430 ZINCsN000000ViMP Cc1nc2ccc(NC(=O)N3CCc4ccc(O)cc4CC3)c(Br)c2nc1C
H24P170 ZINCon00000FxMcq CC(C)[C@@H]1C[C@H](Nc2c(NCC3CCOCC3)c(=O)c2=O)CCO1
H27P110 ZINCrh00001JsEM8 CC(C)c1ccc(C(=O)N[C@H]2COC[C@H]2NC(=O)[C@H]2C[C@H]3C=C[C@@H]2O3)cn1
H28P360 ZINCsG000004Leux CC[C@H](CC(=O)N1CCOC2(CN(Cc3ccc4c(c3)CCC4)C2)C1)C(C)C
H25P370 ZINCpH00000kqyGU C[C@H](NC(=O)[C@H]1CN(C(=O)OC(C)(C)C)C[C@@H]1C(C)(C)C)C1(Cl)CC1
H27P500 ZINCrU000012mDPu Cc1cc(CN(CC2CCC=CCC2)C(=O)CCc2ncc[nH]2)ccc1Cl
H29P460 ZINCtQ000003WKWh C[C@@H](CC1CCN(C(=O)[C@@H]2CCCCS2)CC1)NC(=O)c1cc(F)c(F)cc1Cl
H26P230 ZINCqt00000nPy5P Cc1conc1CC(=O)N[C@H]1CCC[C@@]12CCN(C(=O)CSC(F)F)C2
H27P310 ZINCrB00000aXSH6 CN(C)[C@H](C(=O)NCC1(CNC(=O)C2(Cl)CC2)CCC1)c1ccccc1Cl
H25P250 ZINCpv00000QmyPw CC[C@H](CCOC)NC(=O)[C@H]1C[C@H]2C[C@@H]1CN(C(=O)CCCSC)C2
H28P190 ZINCsp0000121UMX O=C(N[C@@H]1CN(C(=O)c2ncn3c2CCC3)CC12CC2)c1ccc2c(c1)CC2
H29P360 ZINCtG00000FiNFn C[C@H](C(=O)Nc1cc(O)cc(Cl)c1)C1CCN(Cc2cc(O)c(O)cc2O)CC1
H28P100 ZINCsg00000FCrls CCc1ncoc1C(=O)N1CCN(C(=O)CSc2nccn2C)C[C@H]1COC
H27P030 ZINCr900000DtdZB Cc1cnncc1C(=O)N1C[C@@H]2CN(C(=O)[C@H](C)CS(C)(=O)=O)C[C@]2(C)C1
H28P430 ZINCsN000000ViUz Cc1nc2ccc(NNC(=O)c3cc4ccccc4c4cccnc34)cc2[nH]1
H26P330 ZINCqD00000eywRb CCSCc1cc(C(=O)N2C[C@@H](CC)[C@@H](NC(=O)C(C)(C)CC)C2)no1
H29P090 ZINCtf0000065vlO O=C(NCCCCCN1CCN(C(=O)CC2OCCCO2)CC1)[C@@H]1CC=CCO1
H29P400 ZINCtK00000DQf8v Cc1cnn([C@H](C)C(=O)N(Cc2ccc3occc3c2)CC2(CCO)CCC2)c1
H28P390 ZINCsJ00000g39Ix CC(C)C[C@H](CNC(=O)C1=CCCS1)NC(=O)c1cccnc1SC(F)(F)F
H25P450 ZINCpP000010eT3K CCCC=CCCN(Cc1cccc(Cl)n1)C(=O)[C@@]1(C)CCC(=O)C1
H24M000 ZINCo50000167Gxh C[C@H]1CN([C@@H](c2cc(I)n(C)n2)c2nnnn2C)CCN1CCO
H29P090 ZINCtf0000065pqB O=C(NCCC1(O)CN(C(=O)c2c(Cl)ccnc2F)C1)c1cc2n(n1)C[C@@H](F)C2
H27P260 ZINCrw00000PSmw7 COCc1cc([C@@H](NC2CC(F)C2)c2nnnn2-c2ccccc2Cl)on1
H28P100 ZINCsg00000FCmcr CCc1ncncc1C(=O)NC[C@@]1(C)CN(C(=O)c2cnn(C)c2Cl)CCO1
H26P360 ZINCqG000009zKUm CC(C)c1ccc(Cl)cc1C(=O)N1CC2(NC(=O)[C@H]3CCSC3)CC1C2
H25P110 ZINCph000015JicZ C#CC[C@]1(O)C[C@@H](C(=O)NCc2ccc(C(=O)N(C)[C@@H](C)C#C)o2)C1
H22P240 ZINCmu00000dxxzl CC[C@@H](CC(=O)NCCN(C)C(=O)c1noc(C)c1Br)SC
H26P160 ZINCqm00001RRBUi Cc1ccc(CC(=O)N[C@H]2COCC[C@H]2C(=O)NCc2cc(Cl)no2)o1
H25P000 ZINCp600000MJYOh CCC(=O)N[C@H]1CN(C(=O)c2coc(S(N)(=O)=O)c2)[C@@](C)(COC)C1
H23P060 ZINCnc000000L4kn COc1nc2ccccc2cc1CN1CC(=O)NC[C@@H]1C(=O)O
H27M000 ZINCr500000NAQtm CS(=O)(=O)[C@H]1C[C@H](C(=O)NC[C@H]2CCN(C(=O)c3c[nH]c(C(N)=O)c3)C2)C1
H29P340 ZINCtE00000r82rV CC1=C(C(=O)NC[C@H]2C=C[C@@H](NC(=O)[C@H]3CC3(C)C)C2)OC(C2=CC=CC=C2)=N1
H28P230 ZINCst00000isZns C[C@@]1(C(=O)NCCC2(NC(=O)c3cc(F)c(Cl)cc3F)CCC2)CCNC1=O
H26P360 ZINCqG000009zKuK CC(C)c1ccc(CCC(=O)NCCCN(C)C(=O)[C@@H]2[C@@H](C)[C@H]2C)cc1
H26M000 ZINCq500000gkzfj CN1CCC(C(=O)N[C@@H]2CC[C@H](NC(=O)CN3CC[C@](C)(O)C3)C2)CC1
H27P050 ZINCrb00000NAPaD CC(C)C[C@@H](C(N)=O)C(=O)N1[C@H](CNC(=O)Cc2cnc[nH]2)[C@H]2CC[C@@H]1C2
H26M000 ZINCq500000gkBi6 CN1CCC(C(=O)N[C@H]2COCCN(C(=O)[C@@]3(C#N)CCCO3)C2)CC1
H27P350 ZINCrF00000jsacz CC(C(=O)NC[C@H](C)CNC(=O)[C@@H](CC(F)F)c1ccc(F)cc1)=C1CC1
